attribute,mean,max,min
nHBDon,2.869740634005764,34.0,0.0
TopoPSA,103.46043804034565,965.2,0.0
maccs_k139,0.5878962536023055,1.0,0.0
pubchem_f309,0.5878962536023055,1.0,0.0
pubchem_f407,0.5763688760806917,1.0,0.0
hydroxyl,0.5763688760806917,1.0,0.0
pubchem_f618,0.5452449567723343,1.0,0.0
pubchem_f572,0.3561959654178674,1.0,0.0
ALogP,-0.840873544668588,12.5643,-28.3519
maccs_k131,0.4760806916426513,1.0,0.0
secondary alcohol,0.32103746397694527,1.0,0.0
pubchem_f021,0.41729106628242074,1.0,0.0
maccs_k140,0.41729106628242074,1.0,0.0
nHBAcc,6.391354466858788,60.0,0.0
aliphatic alcohol,0.3227665706051873,1.0,0.0
nB,28.87262247838618,176.0,0.0
pubchem_f340,0.3982708933717579,1.0,0.0
maccs_k054,0.2743515850144092,1.0,0.0
bpol,38.754965407492726,247.965709,0.0
maccs_322_035,0.5729106628242074,1.0,0.0
pattern_c44,0.49971181556195965,1.0,0.0
pattern_c73,0.4449567723342939,1.0,0.0
pubchem_f619,0.44553314121037463,1.0,0.0
pubchem_f664,0.2478386167146974,1.0,0.0
pubchem_f372,0.45821325648414984,1.0,0.0
pattern_c76,0.42997118155619596,1.0,0.0
maccs_k146,0.5608069164265129,1.0,0.0
pattern_c77,0.4322766570605187,1.0,0.0
pubchem_f604,0.4547550432276657,1.0,0.0
pubchem_f579,0.4547550432276657,1.0,0.0
pubchem_f585,0.4547550432276657,1.0,0.0
pubchem_f678,0.4547550432276657,1.0,0.0
apol,61.954145831700316,366.140291,1.468793
pubchem_f371,0.47146974063400576,1.0,0.0
pubchem_f471,0.45763688760806914,1.0,0.0
pubchem_f521,0.45763688760806914,1.0,0.0
pubchem_f553,0.45763688760806914,1.0,0.0
pattern_c71,0.45763688760806914,1.0,0.0
pubchem_f635,0.4605187319884726,1.0,0.0
pubchem_f669,0.4605187319884726,1.0,0.0
pubchem_f295,0.07953890489913544,1.0,0.0
pubchem_f004,0.276657060518732,1.0,0.0
pubchem_f571,0.469164265129683,1.0,0.0
pubchem_f256,0.506628242074928,1.0,0.0
pubchem_f343,0.07665706051873199,1.0,0.0
aromatic,0.5072046109510087,1.0,0.0
maccs_k162,0.5072046109510087,1.0,0.0
pattern_c13,0.12161383285302593,1.0,0.0
organohalide,0.12161383285302593,1.0,0.0
XLogP,2.3952426512968352,23.399,-19.634
maccs_k103,0.08069164265129683,1.0,0.0
pubchem_f038,0.08069164265129683,1.0,0.0
MW,389.30424358155653,2446.198955,17.00274
pubchem_f596,0.46455331412103745,1.0,0.0
pubchem_f609,0.46455331412103745,1.0,0.0
ATSc1,0.7023659682814298,7.011197,0.0
maccs_k072,0.31873198847262246,1.0,0.0
maccs_k134,0.12334293948126801,1.0,0.0
halide,0.12334293948126801,1.0,0.0
maccs_k107,0.12046109510086456,1.0,0.0
maccs_322_007,0.7262247838616714,1.0,0.0
pubchem_f385,0.49221902017291064,1.0,0.0
pattern_c75,0.49279538904899134,1.0,0.0
maccs_k053,0.24956772334293947,1.0,0.0
maccs_k091,0.4760806916426513,1.0,0.0
pubchem_f356,0.5020172910662825,1.0,0.0
maccs_k090,0.47780979827089337,1.0,0.0
nAtomP,7.587896253602305,34.0,0.0
pubchem_f022,0.1665706051873199,1.0,0.0
pubchem_f568,0.2864553314121037,1.0,0.0
pubchem_f665,0.5020172910662825,1.0,0.0
ATSm2,33.40345916023049,201.24035,0.0
pubchem_f565,0.5060518731988473,1.0,0.0
meta_substituted_ring,0.49452449567723344,1.0,0.0
ATSm5,51.8507064927954,407.642377,0.0
pattern_c88,0.6657060518731989,1.0,0.0
maccs_322_028,0.6657060518731989,1.0,0.0
pattern_c16,0.2829971181556196,1.0,0.0
maccs_322_034,0.652449567723343,1.0,0.0
pattern_c89,0.652449567723343,1.0,0.0
pattern_c34,0.652449567723343,1.0,0.0
ATSm4,54.014427047838645,378.682984,0.0
maccs_k126,0.738328530259366,1.0,0.0
sugar_pattern_1,0.14985590778097982,1.0,0.0
pattern_c111,0.2899135446685879,1.0,0.0
maccs_k132,0.592507204610951,1.0,0.0
ATSm3,48.33366232219027,298.747967,0.0
